midx,title
870,Crocodile Dundee in Los Angeles (2001)
871,Cronos (1993)
872,"Croods, The (2013)"
873,Crooklyn (1994)
874,"Crossing Guard, The (1995)"
875,Crossroads (2002)
876,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
877,Croupier (1998)
878,"Crow, The (1994)"
879,"Crow: City of Angels, The (1996)"
880,"Crucible, The (1996)"
881,Cruel Intentions (1999)
882,Crumb (1994)
883,"Crush, The (1993)"
884,Cry-Baby (1990)
885,"Crying Game, The (1992)"
886,Cube (1997)
887,Cube 2: Hypercube (2002)
888,Cube Zero (2004)
889,Cujo (1983)
890,"Curious Case of Benjamin Button, The (2008)"
891,"Curse of the Jade Scorpion, The (2001)"
892,Cutthroat Island (1995)
893,"Cutting Edge, The (1992)"
894,Cypher (2002)
895,Cyrano de Bergerac (1990)
896,D2: The Mighty Ducks (1994)
897,D3: The Mighty Ducks (1996)
898,"Da Vinci Code, The (2006)"
899,Daddy Day Care (2003)
900,Dallas Buyers Club (2013)
901,Damien: Omen II (1978)
902,Dan in Real Life (2007)
903,Dancer in the Dark (2000)
904,Dances with Wolves (1990)
905,Dangerous Beauty (1998)
906,Dangerous Liaisons (1988)
907,"Dangerous Lives of Altar Boys, The (2002)"
908,Dangerous Minds (1995)
909,Dante's Peak (1997)
910,Darby O'Gill and the Little People (1959)
911,Daredevil (2003)
912,"Darjeeling Limited, The (2007)"
913,Dark City (1998)
914,"Dark Crystal, The (1982)"
915,"Dark Knight Rises, The (2012)"
916,"Dark Knight, The (2008)"
917,Dark Shadows (2012)
918,Dark Water (2005)
919,Darkest Hour (2017)
920,Darkman (1990)
921,"Das Experiment (Experiment, The) (2001)"
922,Date Movie (2006)
923,Date Night (2010)
924,Dave (1993)
925,Dawn of the Dead (1978)
926,Dawn of the Dead (2004)
927,Dawn of the Planet of the Apes (2014)
928,"Day After Tomorrow, The (2004)"
929,"Day at the Races, A (1937)"
930,Day of the Dead (1985)
931,"Day of the Jackal, The (1973)"
932,"Day the Earth Stood Still, The (1951)"
933,"Day the Earth Stood Still, The (2008)"
934,Daybreakers (2010)
935,Daylight (1996)
936,Days of Heaven (1978)
937,Days of Thunder (1990)
938,"Daytrippers, The (1996)"
939,Dazed and Confused (1993)
940,Dead Again (1991)
941,Dead Alive (Braindead) (1992)
942,Dead Calm (1989)
943,Dead Man (1995)
944,Dead Man Walking (1995)
945,Dead Man on Campus (1998)
946,Dead Men Don't Wear Plaid (1982)
947,Dead Poets Society (1989)
948,"Dead Pool, The (1988)"
949,Dead Presidents (1995)
950,Dead Ringers (1988)
951,"Dead Zone, The (1983)"
952,Deadpool (2016)
953,Deadpool 2 (2018)
954,Dear Frankie (2004)
955,Dear John (2010)
956,Dear Zachary: A Letter to a Son About His Father (2008)
957,Death Becomes Her (1992)
958,Death Proof (2007)
959,Death Race (2008)
960,Death Wish (1974)
961,Death and the Maiden (1994)
962,Death at a Funeral (2007)
963,Death to Smoochy (2002)
964,Deconstructing Harry (1997)
965,Deep Blue Sea (1999)
966,"Deep End of the Ocean, The (1999)"
967,Deep Impact (1998)
968,Deep Rising (1998)
969,Deepwater Horizon (2016)
970,"Deer Hunter, The (1978)"
971,Defending Your Life (1991)
972,Defiance (2008)
973,"Definitely, Maybe (2008)"
974,Delicatessen (1991)
975,Deliverance (1972)
976,Demolition Man (1993)
977,Dennis the Menace (1993)
978,"Departed, The (2006)"
979,Departures (Okuribito) (2008)
980,Dersu Uzala (1975)
981,"Descendants, The (2011)"
982,"Descent, The (2005)"
983,Desperado (1995)
984,Desperate Measures (1998)
985,Desperately Seeking Susan (1985)
986,Despicable Me (2010)
987,Despicable Me 2 (2013)
988,Detroit Rock City (1999)
989,Deuce Bigalow: European Gigolo (2005)
990,Deuce Bigalow: Male Gigolo (1999)
991,Devil (2010)
992,"Devil Wears Prada, The (2006)"
993,Devil in a Blue Dress (1995)
994,"Devil's Backbone, The (Espinazo del diablo, El) (2001)"
995,"Devil's Own, The (1997)"
996,"Devil's Rejects, The (2005)"
997,Diabolique (1996)
998,Diabolique (Les diaboliques) (1955)
999,Dial M for Murder (1954)
1000,Diamonds Are Forever (1971)
1001,Dick (1999)
1002,Dick Tracy (1990)
1003,"Dictator, The (2012)"
1004,Die Another Day (2002)
1005,Die Hard (1988)
1006,Die Hard 2 (1990)
1007,Die Hard: With a Vengeance (1995)
1008,Diner (1982)
1009,"Dinner Game, The (Dîner de cons, Le) (1998)"
1010,Dinner for Schmucks (2010)
1011,Dinosaur (2000)
1012,Dirty Dancing (1987)
1013,"Dirty Dozen, The (1967)"
1014,Dirty Harry (1971)
1015,Dirty Pretty Things (2002)
1016,Dirty Rotten Scoundrels (1988)
1017,Dirty Work (1998)
1018,Disclosure (1994)
1019,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)"
1020,"Dish, The (2001)"
1021,"Distinguished Gentleman, The (1992)"
1022,District 13 (Banlieue 13) (2004)
1023,District 9 (2009)
1024,Disturbia (2007)
1025,Disturbing Behavior (1998)
1026,Diva (1981)
1027,Divergent (2014)
1028,Divine Secrets of the Ya-Ya Sisterhood (2002)
1029,"Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)"
1030,Django Unchained (2012)
1031,Do the Right Thing (1989)
1032,Doc Hollywood (1991)
1033,Doctor Dolittle (1967)
1034,Doctor Strange (2016)
1035,Doctor Zhivago (1965)
1036,Dodgeball: A True Underdog Story (2004)
1037,Dog Day Afternoon (1975)
1038,Dog Soldiers (2002)
1039,Dogma (1999)
1040,Dogtooth (Kynodontas) (2009)
1041,Dogtown and Z-Boyz (2001)
1042,Dogville (2003)
1043,"Dolce Vita, La (1960)"
1044,Dolores Claiborne (1995)
1045,Domino (2005)
1046,Don Jon (2013)
1047,Don Juan DeMarco (1995)
1048,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
1049,Don't Breathe (2016)
1050,Don't Look Now (1973)
1051,Don't Say a Word (2001)
1052,Don't Tell Mom the Babysitter's Dead (1991)
1053,Donnie Brasco (1997)
1054,Donnie Darko (2001)
1055,Doom (2005)
1056,"Doors, The (1991)"
1057,Double Indemnity (1944)
1058,Double Jeopardy (1999)
1059,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)"
1060,Doubt (2008)
1061,Down Periscope (1996)
1062,Down and Out in Beverly Hills (1986)
1063,Down by Law (1986)
1064,Down to Earth (2001)
1065,Down to You (2000)
1066,Down with Love (2003)
1067,"Downfall (Untergang, Der) (2004)"
1068,Dr. Dolittle (1998)
1069,Dr. Dolittle 2 (2001)
1070,Dr. Horrible's Sing-Along Blog (2008)
1071,Dr. No (1962)
1072,Dr. Seuss' The Lorax (2012)
1073,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
1074,Dr. T and the Women (2000)
1075,Dracula (1931)
1076,Dracula (Bram Stoker's Dracula) (1992)
1077,Dracula 2000 (2000)
1078,Dracula Untold (2014)
1079,Dracula: Dead and Loving It (1995)
1080,Drag Me to Hell (2009)
1081,Dragon: The Bruce Lee Story (1993)
1082,Dragonfly (2002)
1083,Dragonheart (1996)
1084,Dragonslayer (1981)
1085,Dreamcatcher (2003)
1086,"Dreamers, The (2003)"
1087,Dreamgirls (2006)
1088,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)"
1089,Dreamscape (1984)
1090,Dredd (2012)
1091,Drive (2011)
1092,Drive Me Crazy (1999)
1093,Driven (2001)
1094,Driving Miss Daisy (1989)
1095,Drop Dead Fred (1991)
1096,Drop Dead Gorgeous (1999)
1097,Drop Zone (1994)
1098,Drowning Mona (2000)
1099,Drugstore Cowboy (1989)
1100,Drumline (2002)
1101,Drunken Master (Jui kuen) (1978)
1102,"Duchess, The (2008)"
1103,Duck Soup (1933)
1104,"Dude, Where's My Car? (2000)"
1105,Dudley Do-Right (1999)
1106,Due Date (2010)
1107,Duel (1971)
1108,"Dukes of Hazzard, The (2005)"
1109,Dumb & Dumber (Dumb and Dumber) (1994)
1110,Dumb and Dumber To (2014)
1111,Dumb and Dumberer: When Harry Met Lloyd (2003)
1112,Dumbo (1941)
1113,Dune (1984)
1114,Dungeons & Dragons (2000)
1115,Dunkirk (2017)
1116,Dunston Checks In (1996)
1117,Duplex (2003)
1118,Déjà Vu (Deja Vu) (2006)
1119,E.T. the Extra-Terrestrial (1982)
1120,EDtv (1999)
1121,Eagle Eye (2008)
1122,Earth Girls Are Easy (1988)
1123,East is East (1999)
1124,East of Eden (1955)
1125,Eastern Promises (2007)
1126,Easy A (2010)
1127,Easy Rider (1969)
1128,Eat Drink Man Woman (Yin shi nan nu) (1994)
1129,Eat Pray Love (2010)
1130,Ed Wood (1994)
1131,Eddie (1996)
1132,Eddie Murphy Raw (1987)
1133,Edge of Tomorrow (2014)
1134,"Edge, The (1997)"
1135,"Education, An (2009)"
1136,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)"
1137,Edward Scissorhands (1990)
1138,Eight Legged Freaks (2002)
1139,Eight Men Out (1988)
1140,Election (1999)
1141,Elektra (2005)
1142,Elephant (2003)
1143,"Elephant Man, The (1980)"
1144,Elf (2003)
1145,Elite Squad (Tropa de Elite) (2007)
1146,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010)
1147,Elizabeth (1998)
1148,Elizabeth: The Golden Age (2007)
1149,Elizabethtown (2005)
1150,Ella Enchanted (2004)
1151,Elysium (2013)
1152,"Emerald Forest, The (1985)"
1153,Emma (1996)
1154,"Emperor's New Groove, The (2000)"
1155,Empire Records (1995)
1156,Empire of the Sun (1987)
1157,Enchanted (2007)
1158,Enchanted April (1992)
1159,Encino Man (1992)
1160,End of Days (1999)
1161,End of Watch (2012)
1162,"End of the Affair, The (1999)"
1163,Ender's Game (2013)
1164,Enemy (2013)
1165,Enemy Mine (1985)
1166,Enemy at the Gates (2001)
1167,Enemy of the State (1998)
1168,"English Patient, The (1996)"
1169,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
1170,Enigma (2001)
1171,Enough (2002)
1172,Enron: The Smartest Guys in the Room (2005)
1173,Enter the Dragon (1973)
1174,Enter the Void (2009)
1175,Entrapment (1999)
1176,Epic Movie (2007)
1177,"Equalizer, The (2014)"
1178,Equilibrium (2002)
1179,Eragon (2006)
1180,Eraser (1996)
1181,Eraserhead (1977)
1182,Erin Brockovich (2000)
1183,Ernest Goes to Camp (1987)
1184,Escape Plan (2013)
1185,Escape from Alcatraz (1979)
1186,Escape from L.A. (1996)
1187,Escape from New York (1981)
1188,Escape from the Planet of the Apes (1971)
1189,Escape to Witch Mountain (1975)
1190,Eternal Sunshine of the Spotless Mind (2004)
1191,EuroTrip (2004)
1192,Europa Europa (Hitlerjunge Salomon) (1990)
1193,Europa Report (2013)
1194,European Vacation (aka National Lampoon's European Vacation) (1985)
1195,Evan Almighty (2007)
1196,Eve's Bayou (1997)
1197,Even Cowgirls Get the Blues (1993)
1198,Event Horizon (1997)
1199,Ever After: A Cinderella Story (1998)
1200,Everest (1998)
1201,Everest (2015)
1202,Everyone Says I Love You (1996)
1203,Everything Is Illuminated (2005)
1204,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)
1205,Evil Dead (2013)
1206,Evil Dead II (Dead by Dawn) (1987)
1207,"Evil Dead, The (1981)"
1208,Evita (1996)
1209,Evolution (2001)
1210,Ex Machina (2015)
1211,Exam (2009)
1212,Excalibur (1981)
1213,Excess Baggage (1997)
1214,Executive Decision (1996)
1215,Exit Through the Gift Shop (2010)
1216,Exit to Eden (1994)
1217,"Exorcism of Emily Rose, The (2005)"
1218,Exorcist II: The Heretic (1977)
1219,"Exorcist III, The (1990)"
1220,"Exorcist, The (1973)"
1221,Exotica (1994)
1222,"Expendables 2, The (2012)"
1223,"Expendables, The (2010)"
1224,Extreme Measures (1996)
1225,Eye for an Eye (1996)
1226,Eye of the Beholder (1999)
1227,Eyes Wide Shut (1999)
1228,F/X (1986)
1229,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991)
1230,"Fabulous Baker Boys, The (1989)"
1231,Face/Off (1997)
1232,"Faculty, The (1998)"
1233,Fahrenheit 451 (1966)
1234,Fahrenheit 9/11 (2004)
1235,Fail-Safe (1964)
1236,Failure to Launch (2006)
1237,Fair Game (1995)
1238,"Fall, The (2006)"
1239,Fallen (1998)
1240,Falling Down (1993)
1241,Fame (1980)
1242,"Family Man, The (2000)"
1243,"Family Stone, The (2005)"
1244,"Family Thing, A (1996)"
1245,"Fan, The (1996)"
1246,Fanny and Alexander (Fanny och Alexander) (1982)
1247,Fantasia (1940)
1248,Fantasia 2000 (1999)
1249,Fantastic Beasts and Where to Find Them (2016)
1250,Fantastic Beasts and Where to Find Them 2 (2018)
1251,Fantastic Four (2005)
1252,Fantastic Four (2015)
1253,Fantastic Four: Rise of the Silver Surfer (2007)
1254,Fantastic Mr. Fox (2009)
1255,"Fantastic Planet, The (Planète sauvage, La) (1973)"
1256,Fantastic Voyage (1966)
1257,Far and Away (1992)
1258,Far from Heaven (2002)
1259,Farewell My Concubine (Ba wang bie ji) (1993)
1260,Fargo (1996)
1261,Farinelli: il castrato (1994)
1262,"Fast & Furious (Fast and the Furious 4, The) (2009)"
1263,"Fast & Furious 6 (Fast and the Furious 6, The) (2013)"
1264,"Fast Five (Fast and the Furious 5, The) (2011)"
1265,Fast Times at Ridgemont High (1982)
1266,"Fast and the Furious, The (2001)"
1267,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)"
1268,"Fast, Cheap & Out of Control (1997)"
1269,Faster Pussycat! Kill! Kill! (1965)
1270,Fatal Attraction (1987)
1271,Fatal Instinct (1993)
1272,Father of the Bride (1950)
1273,Father of the Bride (1991)
1274,Father of the Bride Part II (1995)
1275,Fear (1996)
1276,Fear and Loathing in Las Vegas (1998)
1277,Fearless (1993)
1278,Feeling Minnesota (1996)
1279,Femme Fatale (2002)
1280,"Femme Nikita, La (Nikita) (1990)"
1281,Ferngully: The Last Rainforest (1992)
1282,Ferris Bueller's Day Off (1986)
1283,Fever Pitch (2005)
1284,"Few Good Men, A (1992)"
1285,Fiddler on the Roof (1971)
1286,Field of Dreams (1989)
1287,Fierce Creatures (1997)
1288,"Fifth Element, The (1997)"
1289,Fifty Shades of Grey (2015)
1290,Fight Club (1999)
1291,"Fighter, The (2010)"
1292,Final Destination (2000)
1293,Final Destination 2 (2003)
1294,Final Destination 3 (2006)
1295,"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009)"
1296,Final Fantasy VII: Advent Children (2004)
1297,Final Fantasy: The Spirits Within (2001)
1298,Finding Dory (2016)
1299,Finding Forrester (2000)
1300,Finding Nemo (2003)
1301,Finding Neverland (2004)
1302,Firestarter (1984)
1303,Firewall (2006)
1304,Fireworks (Hana-bi) (1997)
1305,"Firm, The (1993)"
1306,First Blood (Rambo: First Blood) (1982)
1307,First Kid (1996)
1308,First Knight (1995)
1309,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
1310,"First Wives Club, The (1996)"
1311,"Fish Called Wanda, A (1988)"
1312,"Fisher King, The (1991)"
1313,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
1314,Fitzcarraldo (1982)
1315,Five Easy Pieces (1970)
1316,Flags of Our Fathers (2006)
1317,"Flamingo Kid, The (1984)"
1318,Flash Gordon (1980)
1319,Flashdance (1983)
1320,Flatliners (1990)
1321,Fled (1996)
1322,Fletch (1985)
1323,Fletch Lives (1989)
1324,Flight (2012)
1325,Flight of the Navigator (1986)
1326,Flight of the Phoenix (2004)
1327,Flightplan (2005)
1328,"Flintstones in Viva Rock Vegas, The (2000)"
1329,"Flintstones, The (1994)"
1330,Flipper (1996)
1331,Flirting With Disaster (1996)
1332,Flubber (1997)
1333,Flushed Away (2006)
1334,Fly Away Home (1996)
1335,"Fly II, The (1989)"
1336,"Fly, The (1958)"
1337,"Fly, The (1986)"
1338,Focus (2015)
1339,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
1340,"Fog, The (1980)"
1341,Following (1998)
1342,"Food, Inc. (2008)"
1343,Fool's Gold (2008)
1344,Fools Rush In (1997)
1345,Footloose (1984)
1346,For Love of the Game (1999)
1347,For Love or Money (1993)
1348,For Your Eyes Only (1981)
1349,For a Few Dollars More (Per qualche dollaro in più) (1965)
1350,For the Birds (2000)
1351,"Forbidden Kingdom, The (2008)"
1352,Forbidden Planet (1956)
1353,Force 10 from Navarone (1978)
1354,Forces of Nature (1999)
1355,Foreign Correspondent (1940)
1356,Forever Young (1992)
1357,Forget Paris (1995)
1358,Forgetting Sarah Marshall (2008)
1359,"Forgotten, The (2004)"
1360,Forrest Gump (1994)
1361,"Fountain, The (2006)"
1362,Four Brothers (2005)
1363,Four Lions (2010)
1364,Four Rooms (1995)
1365,Four Weddings and a Funeral (1994)
1366,"Fox and the Hound, The (1981)"
1367,Foxcatcher (2014)
1368,Foxfire (1996)
1369,Fracture (2007)
1370,Frailty (2001)
1371,Frances Ha (2012)
1372,Frankenstein (1931)
1373,Frankenweenie (2012)
1374,Frankie and Johnny (1991)
1375,Frantic (1988)
1376,Freaks (1932)
1377,Freaky Friday (1977)
1378,Freaky Friday (2003)
1379,Freddy Got Fingered (2001)
1380,Freddy vs. Jason (2003)
1381,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)"
1382,Free Willy (1993)
1383,Free Willy 2: The Adventure Home (1995)
1384,Free Willy 3: The Rescue (1997)
1385,Freedom Writers (2007)
1386,Freejack (1992)
1387,Freeway (1996)
1388,"French Connection, The (1971)"
1389,French Kiss (1995)
1390,French Twist (Gazon maudit) (1995)
1391,Frenzy (1972)
1392,Frequency (2000)
1393,Fresh (1994)
1394,"Freshman, The (1990)"
1395,Frida (2002)
1396,Friday (1995)
1397,Friday Night Lights (2004)
1398,Friday the 13th (1980)
1399,Friday the 13th Part 2 (1981)
1400,Friday the 13th Part 3: 3D (1982)
1401,Friday the 13th Part IV: The Final Chapter (1984)
1402,Friday the 13th Part V: A New Beginning (1985)
1403,Friday the 13th Part VI: Jason Lives (1986)
1404,Friday the 13th Part VII: The New Blood (1988)
1405,Friday the 13th Part VIII: Jason Takes Manhattan (1989)
1406,Fried Green Tomatoes (1991)
1407,Friends with Benefits (2011)
1408,Fright Night (1985)
1409,"Frighteners, The (1996)"
1410,From Dusk Till Dawn (1996)
1411,From Hell (2001)
1412,From Here to Eternity (1953)
1413,From Paris with Love (2010)
1414,From Russia with Love (1963)
1415,Frost/Nixon (2008)
1416,Frozen (2013)
1417,"Fugitive, The (1993)"
1418,Full Metal Jacket (1987)
1419,"Full Monty, The (1997)"
1420,Fun with Dick and Jane (2005)
1421,Funny Face (1957)
1422,Funny Farm (1988)
1423,Funny Games (1997)
1424,Funny Games U.S. (2007)
1425,Funny Girl (1968)
1426,Funny People (2009)
1427,Furious 7 (2015)
1428,Fury (2014)
1429,G.I. Jane (1997)
1430,G.I. Joe: Retaliation (2013)
1431,G.I. Joe: The Rise of Cobra (2009)
1432,Galaxy Quest (1999)
1433,Gallipoli (1981)
1434,Game Night (2018)
1435,"Game, The (1997)"
1436,Gamer (2009)
1437,Gandhi (1982)
1438,Gangs of New York (2002)
1439,Gangster Squad (2013)
1440,Garden State (2004)
1441,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)"
1442,Garfield: The Movie (2004)
1443,Gaslight (1944)
1444,Gattaca (1997)
1445,"Gay Divorcee, The (1934)"
1446,"General's Daughter, The (1999)"
1447,"General, The (1926)"
1448,Gentlemen Prefer Blondes (1953)
1449,George of the Jungle (1997)
1450,Georgia (1995)
1451,Geri's Game (1997)
1452,Geronimo: An American Legend (1993)
1453,Get Carter (2000)
1454,Get Hard (2015)
1455,Get Him to the Greek (2010)
1456,Get Out (2017)
1457,Get Shorty (1995)
1458,Get Smart (2008)
1459,"Getaway, The (1994)"
1460,Getting Even with Dad (1994)
1461,Gettysburg (1993)
1462,Ghost (1990)
1463,Ghost Dog: The Way of the Samurai (1999)
1464,Ghost Rider (2007)
1465,Ghost Ship (2002)
1466,Ghost Town (2008)
1467,Ghost World (2001)
1468,"Ghost Writer, The (2010)"
1469,"Ghost and Mrs. Muir, The (1947)"
1470,"Ghost and the Darkness, The (1996)"
1471,Ghost in the Shell (2017)
1472,Ghost in the Shell (Kôkaku kidôtai) (1995)
1473,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004)
1474,Ghostbusters (2016)
1475,Ghostbusters (a.k.a. Ghost Busters) (1984)
1476,Ghostbusters II (1989)
1477,Ghosts of Mars (2001)
1478,Ghosts of Mississippi (1996)
1479,Giant (1956)
1480,"Gift, The (2000)"
1481,Gifted (2017)
1482,Gigi (1958)
1483,Gilda (1946)
1484,Ginger Snaps (2000)
1485,Girl 6 (1996)
1486,"Girl Next Door, The (2004)"
1487,"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"
1488,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)"
1489,"Girl Who Played with Fire, The (Flickan som lekte med elden) (2009)"
1490,Girl with a Pearl Earring (2003)
1491,"Girl with the Dragon Tattoo, The (2011)"
1492,"Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009)"
1493,"Girl, Interrupted (1999)"
1494,"Giver, The (2014)"
1495,Gladiator (1992)
1496,Gladiator (2000)
1497,"Glass House, The (2001)"
1498,Glengarry Glen Ross (1992)
1499,"Glimmer Man, The (1996)"
1500,Glory (1989)
1501,Go (1999)
1502,Go Fish (1994)
1503,"Godfather, The (1972)"
1504,"Godfather: Part II, The (1974)"
1505,"Godfather: Part III, The (1990)"
1506,"Gods Must Be Crazy II, The (1989)"
1507,"Gods Must Be Crazy, The (1980)"
1508,Gods and Monsters (1998)
1509,Godzilla (1998)
1510,Godzilla (2014)
1511,Godzilla (Gojira) (1954)
1512,Godzilla 2000 (Gojira ni-sen mireniamu) (1999)
1513,Going Clear: Scientology and the Prison of Belief (2015)
1514,"Gold Rush, The (1925)"
1515,"Golden Child, The (1986)"
1516,"Golden Compass, The (2007)"
1517,GoldenEye (1995)
1518,Goldfinger (1964)
1519,Gone Baby Gone (2007)
1520,Gone Girl (2014)
1521,Gone in 60 Seconds (2000)
1522,Gone with the Wind (1939)
1523,"Good Day to Die Hard, A (2013)"
1524,"Good Girl, The (2002)"
1525,Good Luck Chuck (2007)
1526,"Good Morning, Vietnam (1987)"
1527,"Good Night, and Good Luck. (2005)"
1528,"Good Shepherd, The (2006)"
1529,"Good Son, The (1993)"
1530,Good Will Hunting (1997)
1531,"Good Year, A (2006)"
1532,"Good bye, Lenin! (2003)"
1533,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
1534,"Goodbye Girl, The (1977)"
1535,Goodfellas (1990)
1536,"Goofy Movie, A (1995)"
1537,"Goonies, The (1985)"
1538,Gorillas in the Mist (1988)
1539,Gosford Park (2001)
1540,Gothika (2003)
1541,"Graduate, The (1967)"
1542,Gran Torino (2008)
1543,"Grand Budapest Hotel, The (2014)"
1544,Grand Canyon (1991)
1545,"Grand Day Out with Wallace and Gromit, A (1989)"
1546,Grand Illusion (La grande illusion) (1937)
1547,Grandma's Boy (2006)
1548,"Grapes of Wrath, The (1940)"
1549,Grave of the Fireflies (Hotaru no haka) (1988)
1550,Gravity (2013)
1551,Grease (1978)
1552,Grease 2 (1982)
1553,"Great Dictator, The (1940)"
1554,"Great Escape, The (1963)"
1555,Great Expectations (1998)
1556,"Great Gatsby, The (2013)"
1557,"Great Mouse Detective, The (1986)"
1558,"Great Muppet Caper, The (1981)"
1559,"Great Outdoors, The (1988)"
1560,"Great Race, The (1965)"
1561,"Great Santini, The (1979)"
1562,"Great White Hype, The (1996)"
1563,Green Book (2018)
1564,Green Card (1990)
1565,"Green Hornet, The (2011)"
1566,Green Lantern (2011)
1567,"Green Mile, The (1999)"
1568,Green Room (2015)
1569,Green Street Hooligans (a.k.a. Hooligans) (2005)
1570,Green Zone (2010)
1571,Gremlins (1984)
1572,Gremlins 2: The New Batch (1990)
1573,"Grey, The (2012)"
1574,"Grifters, The (1990)"
1575,Grindhouse (2007)
1576,Grizzly Man (2005)
1577,Grosse Pointe Blank (1997)
1578,Groundhog Day (1993)
1579,Grown Ups (2010)
1580,"Grudge, The (2004)"
1581,Grumpier Old Men (1995)
1582,Grumpy Old Men (1993)
1583,"Guard, The (2011)"
1584,"Guardian, The (2006)"
1585,Guardians of the Galaxy (2014)
1586,Guardians of the Galaxy 2 (2017)
1587,Guess Who's Coming to Dinner (1967)
1588,Gung Ho (1986)
1589,"Guns of Navarone, The (1961)"
1590,Guys and Dolls (1955)
1591,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009)
1592,Hackers (1995)
1593,Hacksaw Ridge (2016)
1594,"Hail, Caesar! (2016)"
1595,Hairspray (1988)
1596,Hairspray (2007)
1597,Half Baked (1998)
1598,Half Nelson (2006)
1599,Hall Pass (2011)
1600,Halloween (1978)
1601,Halloween 4: The Return of Michael Myers (1988)
1602,Halloween 5: The Revenge of Michael Myers (1989)
1603,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998)
1604,Halloween II (1981)
1605,Halloween III: Season of the Witch (1982)
1606,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
1607,Hamlet (1990)
1608,Hamlet (1996)
1609,Hamlet (2000)
1610,Hancock (2008)
1611,"Hand That Rocks the Cradle, The (1992)"
1612,Hang 'Em High (1968)
1613,"Hangover Part II, The (2011)"
1614,"Hangover Part III, The (2013)"
1615,"Hangover, The (2009)"
1616,Hanna (2011)
1617,Hannah and Her Sisters (1986)
1618,Hannibal (2001)
1619,Hannibal Rising (2007)
1620,Hansel & Gretel: Witch Hunters (2013)
1621,"Happening, The (2008)"
1622,Happiness (1998)
1623,Happy Feet (2006)
1624,Happy Gilmore (1996)
1625,"Happy, Texas (1999)"
1626,Hard Candy (2005)
1627,"Hard Day's Night, A (1964)"
1628,Hard Rain (1998)
1629,Hard Target (1993)
1630,Hard-Boiled (Lat sau san taam) (1992)
1631,Harold & Kumar Escape from Guantanamo Bay (2008)
1632,Harold and Kumar Go to White Castle (2004)
1633,Harold and Maude (1971)
1634,Harriet the Spy (1996)
1635,Harry Potter and the Chamber of Secrets (2002)
1636,Harry Potter and the Deathly Hallows: Part 1 (2010)
1637,Harry Potter and the Deathly Hallows: Part 2 (2011)
1638,Harry Potter and the Goblet of Fire (2005)
1639,Harry Potter and the Half-Blood Prince (2009)
1640,Harry Potter and the Order of the Phoenix (2007)
1641,Harry Potter and the Prisoner of Azkaban (2004)
1642,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
1643,Harry and the Hendersons (1987)
1644,Hart's War (2002)
1645,Harvey (1950)
1646,"Hate (Haine, La) (1995)"
1647,"Haunted Mansion, The (2003)"
1648,"Haunting, The (1963)"
1649,"Haunting, The (1999)"
1650,He Got Game (1998)
1651,He's Just Not That Into You (2009)
1652,Head-On (Gegen die Wand) (2004)
1653,Headhunters (Hodejegerne) (2011)
1654,Heart and Souls (1993)
1655,Heartbreak Ridge (1986)
1656,Heartbreakers (2001)
1657,Hearts in Atlantis (2001)
1658,Hearts of Darkness: A Filmmakers Apocalypse (1991)
1659,Heat (1995)
1660,"Heat, The (2013)"
1661,Heathers (1989)
1662,Heaven Can Wait (1978)
1663,Heavenly Creatures (1994)
1664,Heavy Metal (1981)
1665,Heavyweights (Heavy Weights) (1995)
1666,Hedwig and the Angry Inch (2000)
1667,Heist (2001)
